Problem type:
least_squares
nparams:
8
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),x(6),x(7)
     0,  2.6664e+00,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274196258231300e-02
     1,  2.6665e+00,  1.3445606740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274196258231300e-02
     2,  2.6665e+00,  1.3445596740217239e-01, -7.6118636490874206e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274196258231300e-02
     3,  2.6665e+00,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635018173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274196258231300e-02
     4,  2.6665e+00,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763346904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274196258231300e-02
     5,  2.6665e+00,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287373372805270e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274196258231300e-02
     6,  2.6666e+00,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160068130665201e-01,  1.6696339315621439e-01, -1.8274196258231300e-02
     7,  2.6666e+00,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696349315621439e-01, -1.8274196258231300e-02
     8,  2.6666e+00,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274096258231301e-02
     9,  5.8093e+00,  8.6829412298011110e-02, -5.1592168642524090e-02,  1.4027986814998869e-01, -1.5024939283595929e-03,  9.4110286813574529e-02,  6.7714210380355092e-02,  1.4457516640567153e-01, -7.1436565935565181e-03
    10,  5.8094e+00,  8.6829512298011113e-02, -5.1592168642524090e-02,  1.4027986814998869e-01, -1.5024939283595929e-03,  9.4110286813574529e-02,  6.7714210380355092e-02,  1.4457516640567153e-01, -7.1436565935565181e-03
    11,  5.8094e+00,  8.6829412298011110e-02, -5.1592068642524087e-02,  1.4027986814998869e-01, -1.5024939283595929e-03,  9.4110286813574529e-02,  6.7714210380355092e-02,  1.4457516640567153e-01, -7.1436565935565181e-03
    12,  5.8094e+00,  8.6829412298011110e-02, -5.1592168642524090e-02,  1.4027996814998869e-01, -1.5024939283595929e-03,  9.4110286813574529e-02,  6.7714210380355092e-02,  1.4457516640567153e-01, -7.1436565935565181e-03
    13,  5.8094e+00,  8.6829412298011110e-02, -5.1592168642524090e-02,  1.4027986814998869e-01, -1.5023939283595928e-03,  9.4110286813574529e-02,  6.7714210380355092e-02,  1.4457516640567153e-01, -7.1436565935565181e-03
    14,  5.8094e+00,  8.6829412298011110e-02, -5.1592168642524090e-02,  1.4027986814998869e-01, -1.5024939283595929e-03,  9.4110386813574531e-02,  6.7714210380355092e-02,  1.4457516640567153e-01, -7.1436565935565181e-03
    15,  5.8095e+00,  8.6829412298011110e-02, -5.1592168642524090e-02,  1.4027986814998869e-01, -1.5024939283595929e-03,  9.4110286813574529e-02,  6.7714310380355094e-02,  1.4457516640567153e-01, -7.1436565935565181e-03
    16,  5.8095e+00,  8.6829412298011110e-02, -5.1592168642524090e-02,  1.4027986814998869e-01, -1.5024939283595929e-03,  9.4110286813574529e-02,  6.7714210380355092e-02,  1.4457526640567153e-01, -7.1436565935565181e-03
    17,  5.8095e+00,  8.6829412298011110e-02, -5.1592168642524090e-02,  1.4027986814998869e-01, -1.5024939283595929e-03,  9.4110286813574529e-02,  6.7714210380355092e-02,  1.4457516640567153e-01, -7.1435565935565179e-03
    18,  8.3792e+00,  8.6021537068437792e-02, -5.0317301165746550e-02,  1.4012671004705701e-01, -5.2174219555238509e-03,  9.0792976049995242e-02,  6.5394706399907312e-02,  1.4719305573038099e-01, -9.7332350089341518e-03
    19,  8.3793e+00,  8.6021637068437795e-02, -5.0317301165746550e-02,  1.4012671004705701e-01, -5.2174219555238509e-03,  9.0792976049995242e-02,  6.5394706399907312e-02,  1.4719305573038099e-01, -9.7332350089341518e-03
    20,  8.3793e+00,  8.6021537068437792e-02, -5.0317201165746547e-02,  1.4012671004705701e-01, -5.2174219555238509e-03,  9.0792976049995242e-02,  6.5394706399907312e-02,  1.4719305573038099e-01, -9.7332350089341518e-03
    21,  8.3793e+00,  8.6021537068437792e-02, -5.0317301165746550e-02,  1.4012681004705702e-01, -5.2174219555238509e-03,  9.0792976049995242e-02,  6.5394706399907312e-02,  1.4719305573038099e-01, -9.7332350089341518e-03
    22,  8.3794e+00,  8.6021537068437792e-02, -5.0317301165746550e-02,  1.4012671004705701e-01, -5.2173219555238506e-03,  9.0792976049995242e-02,  6.5394706399907312e-02,  1.4719305573038099e-01, -9.7332350089341518e-03
    23,  8.3794e+00,  8.6021537068437792e-02, -5.0317301165746550e-02,  1.4012671004705701e-01, -5.2174219555238509e-03,  9.0793076049995244e-02,  6.5394706399907312e-02,  1.4719305573038099e-01, -9.7332350089341518e-03
    24,  8.3794e+00,  8.6021537068437792e-02, -5.0317301165746550e-02,  1.4012671004705701e-01, -5.2174219555238509e-03,  9.0792976049995242e-02,  6.5394806399907315e-02,  1.4719305573038099e-01, -9.7332350089341518e-03
